index,date,date_text,standard_date,issue_number
1,2025-03-20,الخميس 20 مارس 2025,2025-03-20,7971
2,2025-03-22,السبت 22 مارس 2025,2025-03-22,7972
3,2025-03-23,الأحد 23 مارس 2025,2025-03-23,7973
4,2025-03-25,الثلاثاء 25 مارس 2025,2025-03-25,7974
5,2025-03-26,الأربعاء 26 مارس 2025,2025-03-26,7975
6,2025-03-27,الخميس 27 مارس 2025,2025-03-27,7976
7,2025-03-29,السبت 29 مارس 2025,2025-03-29,7977
8,2025-03-30,الأحد 30 مارس 2025,2025-03-30,7978
9,2025-04-03,الخميس 3 أفريل 2025,2025-04-03,7979
10,2025-04-05,السبت 5 أفريل 2025,2025-04-05,7980
11,2025-04-06,الأحد 6 أفريل 2025,2025-04-06,7981
12,2025-04-07,الإثنين 7 أفريل 2025,2025-04-07,7982
13,2025-04-08,الثلاثاء 08 أفريل 2025,2025-04-08,7983
14,2025-04-09,الأربعاء 09 أفريل 2025,2025-04-09,7984
15,2025-04-10,الخميس 10 أفريل 2025,2025-04-10,7985
16,2025-04-12,السبت 12 أفريل 2025,2025-04-12,7986
17,2025-04-13,الأحد 13 أفريل 2025,2025-04-13,7987
18,2025-04-14,الاثنين 14 أفريل 2025,2025-04-14,7988
19,2025-04-15,الثلاثاء 15 أفريل 2025,2025-04-15,7989
20,2025-04-16,الأربعاء 16 أفريل 2025,2025-04-16,7990
21,2025-04-17,الخميس 17 أفريل 2025,2025-04-17,7991
22,2025-04-19,السبت 19 أفريل 2025,2025-04-19,7992
23,2025-04-20,الأحد 20 أفريل 2025,2025-04-20,7993
24,2025-04-21,الاثنين 21 أفريل 2025,2025-04-21,7994
25,2025-04-22,الثلاثاء 22 أفريل 2025,2025-04-22,7995
26,2025-04-23,الأربعاء 23 أفريل 2025,2025-04-23,7996
27,2025-04-24,الخميس 24 أفريل 2025,2025-04-24,7997
28,2025-04-26,السبت 26 أفريل 2025,2025-04-26,7998
29,2025-04-27,الأحد 27 أفريل 2025,2025-04-27,7999
30,2025-04-28,الاثنين 28 أفريل 2025,2025-04-28,8000
